Designator,Mid X,Mid Y,Rotation,Layer
C1,107.32,-43.19,90.0,top
C2,111.16,-43.19,90.0,top
C3,101.82,-44.16,180.0,top
CIN1,81.5375,-37.96,0.0,bottom
CIN2,85.31,-39.72,0.0,top
CIN3,71.8,-43.06,90.0,top
COUT1,77.39,-50.29,0.0,top
COUT2,86.3325,-60.51,0.0,top
IC1,107.63,-54.47,270.0,top
IC2,77.862652,-43.786687,225.0,top
J1,80.56,-31.83,180.0,top
J2,91.99,-31.83,180.0,top
J3,100.96,-66.9,180.0,top
J4,103.43,-31.83,180.0,top
J5,74.9425,-57.89,270.0,bottom
L2,84.77,-53.12,270.0,top
LED1,91.59,-63.11,180.0,top
Q1,95.74,-40.14,0.0,bottom
R1,90.02,-45.23,90.0,bottom
R10,76.62,-37.86,270.0,top
R11,93.24,-60.73,180.0,top
R2,96.99,-42.05,90.0,top
R3,93.58,-54.89,180.0,top
R4,86.96,-45.24,90.0,bottom
R5,92.05,-39.02,135.0,top
R6,92.16,-56.08,180.0,bottom
R7,92.17,-58.52,180.0,bottom
R8,84.7575,-42.02,180.0,top
R9,72.31,-37.67,270.0,top
S1,101.98,-39.69,180.0,top
S2,94.06,-51.66,180.0,top
